Ulasan;Sentimen
sesuai pesanan dan cepat datangnya ini juga akan kami buktikan;positif
sesuai pesanan dan cepat datangnya nanti kita lihat khasiatnya;positif
sangat bagus;positif
mantap banget;positif
alhamdulillah paket sudah sampai bungkus;netral
bikin alergi parah;negatif
barang sesuai dengan diskripsi;netral
sudah datang barangnya sesuai tapi belum di coba semoga ada manfaatnya biar bisa berlangganan;netral
luar biasa bngt bener ajaib membalikkan keperawanan ku padahal saya sudah beranak dan ini bener rapet keset sampe capek masukinya;positif
pesan sekarang bsok barang dikirim mantap;positif
gerak cepat pesan sekarang besok barang di kirim paket rapi sesuai pesanan langsung di coba dingin;positif
semoga khasiatnya nyata;netral
sudah saya terima gan smoga bermanfaat;netral
belum coba;netral
semoga berterima kasih;netral
semoga cocok;netral
paket sudah datang meskipun telat tapi toko sangat amanah;netral
bagus asli kadaluwarsa tanggalnya lama;positif
tiba cepat;positif
sesuai pesanan kurirnya sopan belum di coba mudah mudahan cocok;positif
lumayan sekarang ampuh sudah bisa konsumsi gula lagi karena sudah normal tapi tetap jaga takaran konsumsi gula terima kasih memang paling terbukti ampuh;positif
baru nyoba mudahan obatnya bekerja dengan baik;netral
barangnya sudah saya terima cepat sampai;positif
terima kasih;positif
alhamdulillah paket obatnya sudah sampai belum di coba sih semoga cocok;netral
semoga khasiatnya mantap;netral
pelayanan dan kualitas produk sangat memuaskan terima kasih;positif
kualitas barang oke jamu herbal berkhasiat pengiriman lancar;positif
jamu daun herbal berkhasiat pelayanan oke pengiriman lancar;positif
oke sip;positif
barang bagus sesuai pesanan;positif
respon penjual cepat;positif
mantap;positif
pengiriman cepat;positif
terima kasih;positif
estimasi sampai tepat waktu;positif
mantap betul;positif
mantap;positif
barang sampai sesuai pesanan;positif
barang sesuai diskripsi;positif
barang sudah saya terima pelayanan memuaskan pengemasan aman pengiriman lancar;positif
sesuai pesanan;positif
sip mantap banget;positif
sip mantap;positif
barang sudah saya terima kualitas oke pelayanan baik juga gerak cepat sip;positif
barang sesuai dengan gambar;positif
kemasan aman;positif
barang sudah saya terima sesuai pesanan packing aman semoga jamu berkhasiat nyata;positif
pengirimannya cepat produknya bagus melembabkan kulit;positif
belum di coba semoga manjur untuk penyakit yang saya derita;positif
benar benar menurunkan nafsu makan;positif
mantap kerja bagus;positif
mantap barang asli direkomendasikan penjual deh pokoknya makasih buat shopee juga abang kurir;positif
anak suka;positif
rasanya enak;positif
gerak cepat penjualnya semoga bermanfaat untuk obat alergi gatal ibu aku;positif
oke nih barang;netral
manjur asli;positif
barang sesuai deskripsi;positif
oke mantab sesuai pesanan kirim cepat dan terima kasih atas responnya pengemasan aman;positif
barang mantap sesuai pesanan;positif
respon banget;positif
amanah pelayanan ramah pengemasan cepat pengiriman cepat produk asli;positif
oke mantap;positif
barang sudah sampai pengemasan rapih belum di coba semoga cocok;netral
terimakasih pesanan sudah saya terima dalam keadaan baik salam sehat dan sukses buat semuanya;positif
toko berlangganan;netral
kenapa yang dikirim malah yang sachetan;negatif
mantab jos;positif
respon dan pengiriman sangat cepat terima kasih;positif
berlangganan;netral
produk asli respon toko sangat baik;positif
sesuai cocok puas;positif
barang sudah diterima dalam kondisi baik produk asli sudah diminum sekali badan terasa segar sesudah bangun tidur;positif
obatnya top;positif
mantab bos terima kasih barang sudah sampai;positif
mantap;positif
barang sesuai pesanan;positif
barang sudah sampai dengan aman terima kasih;netral
terima kasih;positif
toko cepat tapi sayang jasa kurir lambat terlalu lama;netral
cepet banget datangnya;positif
masih kakak barang nya cepat sampai dan paketan nya rapi;positif
barang cepat sampai;positif
keren selanjutnya beli lagi;positif
sudah biasa beli;positif
oke bermanfaat;positif
penjual cepat produk sesuai dengan keterangan nya;positif
sudah diterima tapi belum dicoba diminum;netral
semoga cocok kalau cocok;netral
suka aama permen ini besok pesan lagi deh;positif
barang asli;positif
respon cepat pengiriman cepat bungkus rapi terima kasih;positif
sangat manjur untuk yang kebas asam urat hilang kebas di tangan minum obat ini;positif
barang sesuai pesanan dan proses cepat;positif
respon cepat direkomendasikan toko tapi sayang masih kurir yang jadi masalah;negatif
pengiriman tercepat;positif
suruh mengajukan komplain tapi tidak ada notifikasi tenggang waktu komplain;negatif
barang asli cocok dengan harga;positif
cepat prosesnya;positif
sesuai deskripsi;positif
barang sudah diterima;netral
barang sesuai;netral
alhamdulillah paketan sudah sampai;netral
respon cepat barang sesuai deskripsi;positif
terima kasih barang uda sampai tambah bonus obat asam urat;netral
barang sesuai;positif
mantap banget;positif
jamu nya mantap;positif
semoga cocok;netral
terima kasih barang sudah diterima tinggal coba;netral
mantap pengiriman tepat waktu;positif
semuanya sesuai bintang lima;positif
Hanya di toko ini saya dapat yang benar asli;positif
respon cepat mantap;positif
semoga berkhasiat lah;positif
bagus;netral
barang tidak di kirim ke tempat saya padahal butuh banget kesel;negatif
semoga jadi langganan;netral
mantap nih pengganti obat perangsang buat pasanganmu ga percaya coba beli saja;positif
barang sudah datang;netral
barang sudah datang dengan kondisi bagus;netral
terlalu mantap;positif
penjual baik semoga bisa menyembuhkan cepat penyakit dan sesuai diskripsi;positif
semoga sesuai diskripsi sesuai dan bisa cepat sembuh;positif
mantap betul koko makin cinta;positif
mantap;positif
sesuai deskripsi;positif
cepat sampai;positif
barang sudah di terima dengan aman sesuai pesanan terima kasih;netral
obat herbal sakit empot wangi mantap;positif
pelayanan lambat sekali;negatif
sesuai deskripsi;positif
mantap;positif
puas;positif
terbaik udah ke sekian kalinya order jamu disini terus mantap;positif
banyak yang tanya obat ini order semoga laku amin makasih penjual;negatif
duakali order smoga laris manis lagi makasih penjual;positif
sudah dua kali pesan barang laris manis di toko aku makasih penjual;positif
sudah tahun berlangganan;positif
barang sudah diterima dengan baik sesuai deskripsi;positif
alhamdulillah barang sudah sampai terima kasih;netral
produk berkualitas asli dan tidak diragukan lagi lagi;positif
terimakasih kak obatnya sampai dengan cepat;positif
sangat puas dan produknya sesuai terima kasih kak;positif
terima kasih paketnya sudah diterima dengan baik;positif
sesuai pesanan;positif
sesuai makananan semoga hasilnya memuaskan;netral
sesuai pesanan belum tau hasilnya seperti apa;netral
makasih;netral
mantap;positif
mantap;positif
pengemasan rapi;positif
paket sudah diterima;netral
mantap pengiriman super cepat dan barang original;positif
bagus;positif
semoga ampuh dan tanpa efek jangka panjang selain kebaikan semoga lancar usahanya;netral
melancarkan datang bulan;positif
bikin pasangan ketagihan terus;positif
bikin tahan lama;positif
oke banget;positif
kemasan produk aman sesuai pesanan;positif
puas sesuai pesanan;positif
keluar saya rutin minum obat ini;positif
barang sudah diterima;positif
sudah kedua kali beli di toko ini;positif
panasnya banget;positif
pesan kemarin;netral
mantap;positif
berlangganan;netral
pengiriman cepat;positif
belum dicoba;netral
berasa khasiatnya;positif
barang sudah diterima aman;netral
harganya sangat murah beda dengan di sini;positif
asli;positif
respon cepat;positif
paket sesuai dan sangat cepat pengirimannya bagus;positif
semoga tambah sukses aamiin;netral
kemasan super aman;positif
kemasan lebih aman mantap;positif
barang yang dikirim salah;negatif
produk sesuai;positif
harga bersaing layanan cepat bagus khasiat jamu semoga cocok karena baru mau mencoba pakai;positif
asli asli beneran mantap pokoknya dah;positif
terima kasih banyak;netral
semoga cocok;netral
bagus sangat murah dari di tempat saya pengiriman cepat lagi;positif
barangnya bagus tapi kurang panas;negatif
barang sudah sesuai deskripsi dan pengiriman cepat terima kasih;positif
barang sudah datang dengan kondisi bagus;positif
penjualnya ramah banget packingnya rapi respon penjualnya top kurirnya ramah sekali;positif
baru hari coba;netral
semoga cocok;netral
terima kasih kak produk sesuai deskripsi;netral
semoga laku jualannya;netral
mantap;positif
kok gaada tulisan kadaluwarsa nya kapan;negatif
terima kasih alhamdulillah sudah mendarat dengan aman;positif
manfaatnya luar biasa;positif
oke warna lebih muda di bandingkan yang beli di warung tapi kadaluwarsanya masih terima kasih;positif
pengiriman cepat warna kuning sesuai gambar;negatif
mantap tokonya amanah;positif
mantap senang belanja di toko ini;positif
kemasan aman asli;positif
cepet sampainya terimakasih penjual;positif
mantap produknya sesuai pesanan;positif
cepat respon sip dah;positif
sesuai pesanan terima kasih;positif
barang rusak;negatif
oke juga nih;positif
semoga berkah buat yang minum jamu ini dan berkah buat penjualnya;netral
atas;positif
brang sudah sampai trimakasih semoga laris manis;positif
cocok;positif
sudah jadi langganan toko ini;netral
oke mantap;netral
barang sini sangat mantap;positif
barang sudah datang belum dicoba;netral
mantap banget wes buat penjual dan kurirnya;positif
sudah berlangganan;positif
harga murah dan pelayanan bagus;positif
sudah datang obatnya;netral
udah dikemas baik tidak ada yang rusak nih direkomendasikan buat jadi langganan trimakasih kak;positif
kemasannya sebaiknya dikasih kantong besar biar kalo rusak;negatif
datang barang tepat waktu;positif
saya suka sekali belanja disini;positif
bagus bagus barangnya dan saya cocok pake obat ini;positif
suka sekali dengan pelayanannya;positif
bagus ini barangnya dan enak juga kalo pake obat ini;positif
karena barangnya kosong jadi diganti dengan ini;negatif
mantap;positif
terima kasih barangnya tiba tepat waktu dan bungkus paketnya rapih mantap;positif
pembelian ke;positif
berlangganan;positif
manjur;positif
pesan ke nya;positif
makasih;netral
semoga cocok;netral
kemasan rapi dan bersegel;positif
suka beli jamu disini cepat sekali sampek dan kemasan rapi;positif
cepat sekali datang dan saya suka;positif
barang sudah sampai dalam keadaan baik belum di coba smoga cocok dan bermanfaat;netral
sangat mantap;positif
pengemasan rapi;positif
makasih sampe lupa kasih ulasan;negatif
bagus;positif
mantap cepat sampai;positif
bagus produknya aku suka sukses selalu ya bakal beli disini lagi;positif
penjual jamu asli bagus;positif
oke banget terima kasih;positif
barang datang sesuai pesanan;positif
barang sudah tiba dengan selamat pengiriman cepat mantap;positif
ya harga segitu kualtas produk lumayan;negatif
belum habis jamunya tapi sudah ada rasa lebih enak di badan;positif
sudah sampai;positif
yang dikirim beda sama yang dipesan;negatif
barang sudah sampai;netral
produk telah sampai direkomendasikan penjual;positif
respon penjual sangat baik harga produk sangat baik kecepatan pengiriman sangat baik kualitas produk sangat baik produk asli;positif
bagus sangat bermanfaat buat kesehatan;positif
dah beli ke nya;positif
sesuai diskripsi;positif
sesuai diskripsi mantap;positif
barang sudah sampai;positif
mantap;positif
pokoknya mantap betul bos;positif
tingkat terus ya bos semoga tambah lancar;positif
penjual hebat;positif
sudah sampai makasih ya;positif
barangnya sudah tiba makasih ya sukses selalu;positif
oke;positif
bagus barangnya cepet responnya;positif
respon harap dtingkatkan;negatif
terima kasih kakak;positif
barang telah sampai semoga bermanfaat terima kasih jamu firdaus;negatif
barangnya sudah sampai semoga bermanfaat terima kasih ibu;positif
terima kasih kakak;positif
alhamdulillahi rabbil alamin terima kasih mantap;positif
semoga berhasil setelah dicoba;netral
belum dicoba semoga bagus;netral
belum dicoba semoga berkhasiat;netral
kemasan bagus dan aman;positif
sebelum beli puas blanja disini;positif
sejauh ini bagus;positif
direkomendasikan penjual produk hebat;positif
kemasan aman;positif
barang udah nyampek meskipun molor;negatif
penjual terbaik;positif
cepat sekali sampainya;positif
udah datang barangnya semoga cocok;netral
terimakasih;positif
tidak pernah kecewa belanja ditoko ini murah cepat kemasan bagus;positif
produk asli;positif
kemasan bagus;positif
barang sesuai gambar;netral
terima kasih produk sudah sampai;positif
belum di coba;netral
bagus belum dicoba semoga hasilnya oke;positif
jamunya sudah sampai dengan baik;positif
sesuai pesanan;positif
sesuai pesanan makasih;positif
sesuai pesana maksih;positif
terima kasih saya sangat puas dengan pelayanan toko onlinenya;positif
sesuai pesanan enak buat langganan terimakasih;positif
sesuai pesanan trims enak buat langganan;positif
bagus dan pengiriman cepat;positif
baik;positif
bagus sekali;positif
produk sesuai asli harga pas makasih;positif
masih nyoba semoga hasilnya seperti deskripsi hei;netral
makasih udah nyampek kemasan rapi sangat atas sudah;positif
oke memuaskan;positif
alhamdulillahi rabbil alamin terima kasih mantap;netral
direkomendasikan penjual produk hebat;positif
sempet kecewa karna data di shopee sudah hari tapi masih diproses terus eh ternyata barang datang walaupun di catatan belum dikirim makasih harus nya kalau barang;netral
cepat sampai barang bagus;positif
produk bagus seperti biasa nya;positif
trimakasih barangnya sudah ditrima;netral
tak coba dulu ya;netral
barang sudah sampai;netral
belum dcoba semoga berhasil terimakasi;netral
barang sudah terima barangnya dengan baik;netral
alhamdulillahi rabbil alamin terima kasih mantap;netral
barang sudah diterima paket rapi cepat respon prngiriman cepat makasih bos;positif
cepat;positif
bagus cepat dikirimnya terbungkus rapi makasih;positif
tidak cocok buat perantara hati hati buat yang perantara;negatif
kecewakan udah kelihatannya lama;negatif
lama banget prosesnya dan ketika ditanya penjual cuek tidak direspon sama sekali;negatif
kurang direkomendasikan;negatif
tidak direkomendasikan;negatif
kurang direkomendasikan penjual;negatif
barang sesuai produk tinggal dicoba dan lihat haailnya terimakasih;positif
terima kasih barang sudah di terima;netral
barang tidak sampai;negatif
barang sesuai;positif
baru sampai kak;netral
belum di coba nanti cocok nanti pesan lagi kemasan rapih;netral
makasih kemasan rapih;positif
jamu aman kemasan rapih bagus;positif
sampai dengan selamat makasih;positif
belum dicoba;netral
barang dan kemasan oke;positif
pengiriman cepat;positif
terima kasih sudah sampai;netral
barang sesuai pesanan;positif
alhamdulillaah obat nya cocok di saya makasih kak;positif
barang sesuai pesanan respon cepat;positif
suka;positif
oke sip;positif
kemasan sip;positif
terima kasih pesanan sudah sampai;netral
respon mantap sudah beres terkirim dengan rapih dan baik semoga enak dan bisa lanjut pesan lagi;positif
barang sudah diterima dengan baik;positif
barang bagus direkomendasikan penjual cuma berat barangnya perlu lebih teliti lagi;negatif
sip;positif
kualitas belum tau soalnya baru mau coba pembelian selanjutnya kalo khasiat kasih bintang produk sesuai gambar;netral
mantap;positif
barang udah diterima sesuai deskripsi semoga cocok ya;positif
pengiriman cepat;positif
paket sudah diterima dengan baik;positif
aslinya kecil banget;negatif
paket sudah sampai sesuai pesanan;positif
senang beli disini;positif
terima kasih barang sudah sampai;netral
sudah sampai sesuai pesanan;netral
sudah sampai pengiriman cepat makasih;positif
barang sudah sampai;netral
pengiriman cepat kelihatannya cukup ampuh;positif
barang sudah sampai terima kasih;netral
oke;netral
bagus dan cepat sesuai dengan pesanan;positif
kemasan rapih dan bagus;positif
pengiriman cepat dan tepat;positif
terimakasi sudah datang dengan selamat;positif
mantap cepat sampai;positif
barang sudah sampai dengan selamat;netral
barang sesuai;positif
barangnya cepat datang;positif
cocok beli disini;positif
sudah beli beberapa kali;positif
bagus dan cepat sesuai dengan pesanan;positif
kemasan rapih dan bagus;positif
pengiriman cepat dan tepat;positif
terimakasi sudah datang dengan selamat;positif
mantap cepat sampai;positif
barang cepat sudah sampai dengan selamat;netral
barang sesuai;positif
barangnya cepet datang;positif
cocok beli disini;positif
sudah beli beberapa kali;netral
bagus dan cepat sesuai dengan pesanan;positif
kemasan rapih dan bagus;positif
pengiriman cepat dan tepat;positif
terimakasi sudah datang dengan selamat;positif
mantap cepat sampai;positif
barang sudah sampai;netral
barang sesuai;positif
barangnya cepet datang;positif
cocok beli disini;positif
sudah beli beberapa kali;netral
bagus dan cepat sesuai dengan pesanan;positif
kemasan rapih dan bagus;positif
pengiriman cepat dan tepat;positif
terimkasi sudah datang dengan selamat;positif
mantap cepat sampai;positif
barang sudah sampai;positif
barang sesuai;positif
barangnya cepet datang;positif
cocok beli disini;positif
sudah beli beberapa kali;positif
bagus dan cepat sesuai dengan pesanan;positif
kemasan rapih dan bagus;positif
pengiriman cepat dan tepat;positif
terimaksi sudah datang dengan selamat;positif
mantap cepat sampai;positif
barang sudah sampai;positif
barang sesuai;positif
barangnya cepet datang;positif
cocok beli disini;positif
sudah beli beberapa kali;positif
bagus dan cepat sesuai dengan pesanan;positif
kemasan rapih dan bagus;positif
pengiriman cepat dan tepat;positif
terimakasi sudah datang dengan selamat;positif
mantap cepat sampai;positif
barang sudah sampai terima kasih;netral
barang sesuai;positif
barangnya cepet datang;positif
cocok beli disini;positif
sudah beli beberapa kali;positif
bagus dan cepat sesuai dengan pesanan;positif
kemasan rapih dan bagus;positif
pengiriman cepat dan tepat;positif
terimaksi sudah datang dengan selamat;positif
mantap cepat sampai;positif
barang sudah sampai;positif
barang sesuai;positif
barangnya cepet datang;positif
cocok beli disini;positif
sudah beli beberapa kali;netral
bagus dan cepat sesuai dengan pesanan;positif
kemasan rapih dan bagus;positif
pengiriman cepat dan tepat;positif
terimakasi sudah datang dengan selamatdan aman;positif
mantap cepat sampai;positif
barang sudah sampai;netral
barang sesuai;positif
barangnya cepet datang;positif
cocok beli disini;positif
sudah beli beberapa kali;positif
bagus dan cepat sesuai dengan pesanan;positif
kemasan rapih dan bagus;positif
pengiriman cepat dan tepat;positif
terimakasi sudah datang;positif
mantap cepat sampai;positif
barang sudah sampai;positif
barang sesuai;positif
barangnya cepet datang;positif
cocok beli disini;positif
sudah beli beberapa kali;positif
bagus dan cepat sesuai dengan pesanan;positif
kemasan rapih dan bagus;positif
pengiriman cepat dan tepat;positif
terimakasi datang dengan selamat;positif
mantap cepat sampai;positif
barang sudah sampai;positif
barang sesuai;positif
barangnya cepet datang;positif
cocok beli disini;positif
sudah beli beberapa kali;positif
bagus dan cepat sesuai dengan pesanan;positif
kemasan rapih dan bagus;positif
pengiriman cepat dan tepat;positif
barang sudah datang dengan selamat;positif
mantap cepat sampai;positif
barang sudah sampai;positif
barang sesuai pesanan;netral
barangnya cepet datang bagus;positif
cocok beli disini;positif
sudah beli beberapa kali;positif
bagus dan cepat sesuai dengan pesanan;positif
kemasan rapih dan bagus;positif
pengiriman cepat dan tepat;positif
terimakasi sudah datang dengan selamat;positif
mantap cepat sampai;positif
barang sudah sampai;positif
barang sesuai;positif
barangnya cepet datang;positif
cocok beli disini;positif
sudah beli beberapa kali;positif
bagus dan cepat sesuai dengan pesanan;netral
kemasan rapih dan bagus;positif
pengiriman cepat dan tepat;positif
terimakasi penjual sudah datang;positif
mantap cepat sampai;positif
barang sudah sampai;positif
barang sesuai;netral
barangnya cepet datang;positif
cocok beli disini;positif
sudah beli beberapa kali;positif
bagus dan cepat sesuai dengan pesanan;positif
kemasan rapih dan bagus;positif
pengiriman cepat dan tepat;positif
barang saya sudah datang dengan selamat;positif
mantap cepat sampai;positif
barang sudah sampai;positif
barang sesuai;positif
barangnya cepet datang;positif
cocok beli disini;positif
sudah beli beberapa kali;positif
bagus dan cepat sesuai dengan pesanan;positif
kemasan rapih dan bagus;positif
pengiriman cepat dan tepat;positif
terimakasi sudah datang dengan selamat;positif
mantap cepat sampai;positif
barang sudah sampai;positif
barang sesuai;positif
barangnya cepet datang;positif
cocok beli disini;positif
sudah beli beberapa kali;positif
bagus dan cepat sesuai dengan pesanan;positif
kemasan rapih dan bagus;positif
pengiriman cepat dan tepat;positif
terimakasi sudah datang dengan selamat;positif
mantap cepat sampai;positif
barang sudah sampai;positif
barang sesuai;positif
barangnya cepet datang;positif
cocok beli disini;positif
sudah beli beberapa kali;positif
bagus dan cepat sesuai dengan pesanan;positif
kemasan rapih dan bagus;positif
pengiriman cepat dan tepat;positif
trimksi sdh dtng dngn selamat;positif
mantap cepat sampai;positif
barang sudah sampai;positif
